iter	Passed	Remaining
417	2209	3076
418	2210	3065
419	2211	3054
420	2214	3045
421	2216	3035
422	2221	3029
423	2223	3020
424	2224	3009
425	2226	2999
426	2227	2988
427	2228	2978
428	2230	2968
429	2231	2957
430	2238	2954
431	2242	2948
432	2248	2943
433	2254	2940
434	2257	2931
435	2258	2921
436	2260	2911
437	2262	2903
438	2266	2896
439	2307	2937
440	2311	2930
441	2314	2922
442	2316	2913
443	2333	2922
444	2337	2914
445	2338	2905
446	2350	2907
447	2354	2900
448	2356	2891
449	2363	2888
450	2366	2880
451	2367	2870
452	2382	2876
453	2386	2869
454	2387	2860
455	2394	2856
456	2398	2849
457	2400	2840
458	2402	2831
459	2407	2826
460	2411	2819
461	2413	2810
462	2415	2801
463	2416	2791
464	2421	2785
465	2423	2776
466	2431	2775
467	2437	2771
468	2440	2762
469	2444	2756
470	2445	2746
471	2447	2737
472	2452	2732
473	2454	2723
474	2456	2715
475	2458	2705
476	2459	2696
477	2463	2690
478	2467	2683
479	2471	2677
480	2525	2725
481	2537	2727
482	2539	2718
483	2541	2709
484	2548	2705
485	2552	2699
486	2554	2691
487	2562	2688
488	2566	2681
489	2568	2673
490	2569	2664
491	2572	2656
492	2581	2654
493	2583	2646
494	2619	2672
495	2629	2671
496	2630	2662
497	2633	2654
498	2635	2646
499	2637	2637
500	2639	2628
501	2660	2638
502	2662	2630
503	2671	2629
504	2673	2620
505	2676	2612
506	2679	2605
507	2686	2602
508	2690	2595
509	2692	2587
510	2694	2578
511	2701	2575
512	2703	2566
513	2707	2559
514	2708	2551
515	2711	2543
516	2727	2548
517	2735	2545
518	2741	2540
519	2743	2532
520	2745	2524
521	2754	2521
522	2756	2513
523	2758	2505
524	2767	2503
525	2770	2496
526	2773	2489
527	2776	2482
528	2779	2474
529	2781	2466
530	2784	2459
531	2786	2451
532	2790	2445
533	2792	2437
534	2794	2428
535	2796	2420
536	2797	2412
537	2803	2407
538	2806	2399
539	2808	2392
540	2810	2384
541	2812	2376
542	2816	2370
543	2819	2362
544	2820	2354
545	2822	2346
546	2823	2338
547	2824	2329
548	2826	2321
549	2827	2313
550	2832	2307
551	2833	2299
552	2834	2291
553	2835	2283
554	2837	2274
555	2838	2266
556	2839	2258
557	2841	2250
558	2842	2242
559	2846	2236
560	2848	2228
561	2849	2220
562	2850	2212
563	2852	2204
564	2853	2197
565	2855	2189
566	2856	2181
567	2857	2173
568	2862	2168
569	2864	2160
570	2865	2153
571	2868	2146
572	2869	2138
573	2871	2131
574	2872	2123
575	2874	2115
576	2875	2108
577	2877	2100
578	2878	2093
579	2879	2085
580	2881	2077
581	2882	2070
582	2883	2062
583	2884	2054
584	2888	2049
585	2889	2041
586	2890	2033
587	2892	2026
588	2893	2019
589	2894	2011
590	2896	2004
591	2897	1996
592	2898	1989
593	2904	1985
594	2905	1977
595	2906	1970
596	2908	1963
597	2909	1955
598	2910	1948
599	2912	1941
600	2913	1934
601	2914	1926
602	2918	1921
603	2919	1914
604	2921	1907
605	2923	1900
606	2924	1893
607	2926	1886
608	2927	1879
609	2931	1874
610	2933	1867
611	2934	1860
612	2937	1854
613	2941	1849
614	2947	1845
615	2948	1838
616	2950	1831
617	2951	1824
618	2953	1817
619	2954	1811
620	2956	1804
621	2957	1797
622	2959	1791
623	2961	1784
624	2962	1777
625	2964	1770
626	2965	1764
627	2966	1757
628	2967	1750
629	2969	1744
630	2971	1737
631	2973	1731
632	2976	1725
633	2977	1719
634	2979	1712
635	2980	1705
636	2981	1699
637	2983	1692
638	2984	1686
639	2985	1679
640	2987	1673
641	2991	1667
642	2992	1661
643	2994	1655
644	2997	1649
645	2998	1643
646	3000	1636
647	3006	1633
648	3008	1627
649	3015	1623
650	3023	1620
651	3026	1615
652	3030	1610
653	3038	1607
654	3040	1601
655	3042	1595
656	3045	1590
657	3053	1587
658	3057	1582
659	3060	1576
660	3067	1573
661	3071	1568
662	3074	1562
663	3076	1556
664	3090	1557
665	3092	1551
666	3106	1551
667	3108	1545
668	3115	1541
669	3122	1537
670	3124	1531
671	3136	1530
672	3140	1525
673	3148	1522
674	3155	1519
675	3162	1515
676	3167	1511
677	3169	1505
678	3171	1499
679	3177	1495
680	3181	1490
681	3183	1484
682	3184	1478
683	3186	1472
684	3192	1468
685	3195	1462
686	3197	1457
687	3199	1450
688	3201	1445
689	3206	1440
690	3208	1434
691	3210	1429
692	3212	1423
693	3214	1417
694	3216	1411
695	3223	1407
696	3225	1402
697	3226	1396
698	3228	1390
699	3231	1384
700	3239	1381
701	3241	1375
702	3244	1370
703	3252	1367
704	3255	1362
705	3257	1356
706	3260	1351
707	3262	1345
708	3271	1342
709	3273	1337
710	3275	1331
711	3277	1325
712	3285	1322
713	3289	1317
714	3291	1311
715	3293	1306
716	3300	1302
717	3301	1296
718	3303	1291
719	3305	1285
720	3308	1280
721	3315	1276
722	3317	1270
723	3319	1265
724	3321	1259
725	3327	1255
726	3331	1251
727	3333	1245
728	3334	1239
729	3336	1233
730	3337	1228
731	3341	1223
732	3343	1218
733	3345	1212
734	3346	1206
735	3348	1201
736	3350	1195
737	3352	1190
738	3354	1184
739	3356	1179
740	3357	1173
741	3358	1167
742	3360	1162
743	3361	1156
744	3362	1150
745	3363	1145
746	3365	1139
747	3366	1134
748	3367	1128
749	3370	1123
750	3371	1117
751	3372	1112
752	3374	1106
753	3375	1101
754	3376	1095
755	3377	1090
756	3379	1084
757	3380	1079
758	3381	1073
759	3383	1068
760	3386	1063
761	3387	1058
762	3389	1052
763	3390	1047
764	3392	1042
765	3394	1036
766	3395	1031
767	3398	1026
768	3406	1023
769	3409	1018
770	3411	1013
771	3421	1010
772	3423	1005
773	3425	1000
774	3426	994
775	3429	989
776	3431	984
777	3434	980
778	3436	974
779	3439	970
780	3441	964
781	3444	960
782	3449	956
783	3451	950
784	3454	946
785	3455	940
786	3456	935
787	3460	930
788	3462	926
789	3464	921
790	3466	916
791	3468	911
792	3470	905
793	3472	900
794	3475	896
795	3477	891
796	3479	886
797	3481	881
798	3483	876
799	3484	871
800	3489	866
801	3491	861
802	3493	857
803	3495	852
804	3497	847
805	3505	843
806	3509	839
807	3510	834
808	3513	829
809	3526	827
810	3528	822
811	3539	819
812	3542	814
813	3551	811
814	3555	807
815	3557	802
816	3559	797
817	3561	792
818	3567	788
819	3572	784
820	3574	779
821	3577	774
822	3583	770
823	3586	765
824	3588	761
825	3591	756
826	3597	752
827	3602	748
828	3605	743
829	3607	738
830	3612	734
831	3617	730
832	3619	725
833	3621	720
834	3622	715
835	3626	711
836	3628	706
837	3629	701
838	3631	696
839	3632	691
840	3634	687
841	3636	682
842	3641	678
843	3643	673
844	3644	668
845	3646	663
846	3647	658
847	3649	654
848	3650	649
849	3652	644
850	3654	639
851	3656	635
852	3658	630
853	3660	625
854	3661	621
855	3663	616
856	3665	611
857	3672	607
858	3677	603
859	3679	598
860	3685	594
861	3688	590
862	3691	585
863	3693	581
864	3699	577
865	3702	572
866	3706	568
867	3708	563
868	3713	559
869	3716	555
870	3719	550
871	3721	546
872	3723	541
873	3726	537
874	3731	533
875	3734	528
876	3736	524
877	3739	519
878	3744	515
879	3749	511
880	3751	506
881	3753	502
882	3758	498
883	3760	493
884	3763	489
885	3765	484
886	3767	479
887	3769	475
888	3773	471
889	3775	466
890	3778	462
891	3779	457
892	3781	453
893	3782	448
894	3784	443
895	3787	439
896	3789	435
897	3791	430
898	3792	426
899	3794	421
900	3795	417
901	3797	412
902	3802	408
903	3805	404
904	3807	399
905	3809	395
906	3811	390
907	3812	386
908	3818	382
909	3823	378
910	3824	373
911	3834	369
912	3836	365
913	3839	361
914	3841	356
915	3843	352
916	3844	348
917	3854	344
918	3858	340
919	3860	335
920	3866	331
921	3868	327
922	3870	322
923	3872	318
924	3873	314
925	3875	309
926	3882	305
927	3885	301
928	3887	297
929	3890	292
930	3894	288
931	3896	284
932	3897	279
933	3900	275
934	3902	271
935	3910	267
936	3914	263
937	3919	259
938	3922	254
939	3925	250
940	3928	246
941	3930	242
942	3938	238
943	3940	233
944	3942	229
945	3944	225
946	3945	220
947	3953	216
948	3955	212
949	3960	208
950	3975	204
951	3978	200
952	3981	196
953	3983	192
954	3989	187
955	3991	183
956	3993	179
957	3995	175
958	3997	170
959	3998	166
960	4004	162
961	4007	158
962	4009	154
963	4022	150
964	4024	145
965	4027	141
966	4029	137
967	4039	133
968	4041	129
969	4043	125
970	4050	120
971	4053	116
972	4055	112
973	4056	108
974	4058	104
975	4067	100
976	4070	95
977	4072	91
978	4073	87
979	4086	83
980	4088	79
981	4101	75
982	4103	70
983	4107	66
984	4116	62
985	4118	58
986	4122	54
987	4130	50
988	4132	45
989	4136	41
990	4179	37
991	4181	33
992	4183	29
993	4185	25
994	4193	21
995	4195	16
996	4197	12
997	4198	8
998	4200	4
999	4209	0
